發生日期時間,公司名稱,工程名稱,事故詳細地址,災害類型,罹災人數,場所肇災處(事故經過)
107/03/23 16:00,遠雄營造股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道82號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/10/07 16:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路198號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/09/13 09:00,互助營造股份有限公司,廠房新建工程 (第3期),高雄市苓雅區四維四路396號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/08/18 16:00,中鼎工程股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路105號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/12/20 15:00,遠雄營造股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路272號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/06/21 11:00,瑞助營造股份有限公司,高速公路拓寬工程 (第3期),新北市板橋區文化路467號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/02/22 15:00,互助營造股份有限公司,中心商業大樓新建案 (第3期),臺北市內湖區瑞光路366號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/12/04 13:00,皇昌營造股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路493號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/12/04 09:00,達欣工程股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路304號,被撞,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/07/18 09:00,根基營造股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路258號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/12/19 08:00,建國工程股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路228號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/01/25 14:00,互助營造股份有限公司,中心商業大樓新建案 (第1期),高雄市苓雅區四維四路77號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/05/28 10:00,互助營造股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路375號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/26 11:00,大陸工程股份有限公司,中心商業大樓新建案 (第1期),臺中市西屯區台灣大道315號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/12/08 15:00,互助營造股份有限公司,捷運系統土建工程 (第2期),高雄市苓雅區四維四路279號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/05/06 12:00,建國工程股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路432號,物體飛落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/06/14 10:00,瑞助營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路457號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/05/09 11:00,達欣工程股份有限公司,高速公路拓寬工程 (第2期),高雄市苓雅區四維四路116號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/08/16 10:00,中鼎工程股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路147號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/11/07 08:00,互助營造股份有限公司,捷運系統土建工程 (第2期),高雄市苓雅區四維四路395號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/28 10:00,中鼎工程股份有限公司,捷運系統土建工程 (第2期),臺北市內湖區瑞光路412號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/04 14:00,大陸工程股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路234號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/10/10 09:00,皇昌營造股份有限公司,廠房新建工程 (第2期),高雄市苓雅區四維四路360號,倒塌、崩塌,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/01/21 08:00,皇昌營造股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路145號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/07/13 14:00,建國工程股份有限公司,集合住宅新建工程 (第3期),臺中市西屯區台灣大道369號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/10/18 10:00,根基營造股份有限公司,捷運系統土建工程 (第3期),新北市板橋區文化路416號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/12/06 17:00,中鼎工程股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道422號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/05/03 15:00,大陸工程股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路405號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/01/16 15:00,根基營造股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路290號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/03/05 13:00,互助營造股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路426號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/07/24 16:00,皇昌營造股份有限公司,高速公路拓寬工程 (第3期),桃園市中壢區中正路117號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/03/21 14:00,根基營造股份有限公司,捷運系統土建工程 (第1期),高雄市苓雅區四維四路175號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/10/14 10:00,中鼎工程股份有限公司,捷運系統土建工程 (第2期),臺中市西屯區台灣大道307號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/01/25 11:00,遠雄營造股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路497號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/06/11 17:00,根基營造股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道93號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/08/19 14:00,中鼎工程股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路249號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/06 11:00,達欣工程股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路83號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/12/22 09:00,皇昌營造股份有限公司,中心商業大樓新建案 (第2期),臺北市內湖區瑞光路282號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/06/10 10:00,中鼎工程股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路279號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/05/08 10:00,瑞助營造股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路99號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/08/15 09:00,中鼎工程股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道288號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/02/25 13:00,遠雄營造股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路97號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/09/23 16:00,達欣工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路437號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/10/04 09:00,建國工程股份有限公司,集合住宅新建工程 (第1期),桃園市中壢區中正路425號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/25 16:00,根基營造股份有限公司,捷運系統土建工程 (第3期),臺中市西屯區台灣大道446號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/04/24 13:00,遠雄營造股份有限公司,高速公路拓寬工程 (第1期),臺中市西屯區台灣大道15號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/05/06 10:00,互助營造股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道435號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/04/18 08:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路180號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/06/10 12:00,大陸工程股份有限公司,捷運系統土建工程 (第2期),高雄市苓雅區四維四路362號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/12/26 08:00,中鼎工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路434號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/01/24 14:00,建國工程股份有限公司,集合住宅新建工程 (第2期),高雄市苓雅區四維四路275號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/06/09 08:00,瑞助營造股份有限公司,高速公路拓寬工程 (第1期),高雄市苓雅區四維四路280號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/10/08 08:00,工信工程股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路405號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/09/27 15:00,皇昌營造股份有限公司,捷運系統土建工程 (第3期),臺中市西屯區台灣大道182號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/10/10 17:00,根基營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路119號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/07/21 14:00,工信工程股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路300號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/01/15 15:00,遠雄營造股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道67號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/11/09 15:00,互助營造股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路73號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
107/08/22 11:00,遠雄營造股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路119號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/08/12 12:00,互助營造股份有限公司,中心商業大樓新建案 (第2期),臺北市內湖區瑞光路319號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/08/26 13:00,大陸工程股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路247號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
107/07/03 13:00,瑞助營造股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路69號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
107/09/27 08:00,工信工程股份有限公司,高速公路拓寬工程 (第3期),桃園市中壢區中正路260號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
107/03/28 16:00,互助營造股份有限公司,集合住宅新建工程 (第2期),桃園市中壢區中正路460號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/03/09 13:00,遠雄營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道23號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/04/03 12:00,互助營造股份有限公司,捷運系統土建工程 (第2期),高雄市苓雅區四維四路133號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
108/10/14 09:00,根基營造股份有限公司,廠房新建工程 (第2期),新北市板橋區文化路491號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/02/03 13:00,遠雄營造股份有限公司,中心商業大樓新建案 (第2期),臺北市內湖區瑞光路178號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/10/14 17:00,互助營造股份有限公司,高速公路拓寬工程 (第3期),新北市板橋區文化路175號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/07/22 08:00,遠雄營造股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道75號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/09/24 09:00,皇昌營造股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路60號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
108/06/01 16:00,達欣工程股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路475號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/07/08 08:00,根基營造股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路149號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/10/09 17:00,中鼎工程股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道190號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/04/21 14:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),高雄市苓雅區四維四路74號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/09/15 17:00,大陸工程股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路34號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/04/22 11:00,工信工程股份有限公司,高速公路拓寬工程 (第3期),高雄市苓雅區四維四路307號,物體飛落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
108/01/13 13:00,遠雄營造股份有限公司,高速公路拓寬工程 (第2期),桃園市中壢區中正路324號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/05/16 16:00,遠雄營造股份有限公司,集合住宅新建工程 (第3期),新北市板橋區文化路490號,倒塌、崩塌,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/03/01 09:00,瑞助營造股份有限公司,集合住宅新建工程 (第3期),臺中市西屯區台灣大道100號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/02/24 17:00,瑞助營造股份有限公司,廠房新建工程 (第3期),高雄市苓雅區四維四路232號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/09/05 09:00,皇昌營造股份有限公司,集合住宅新建工程 (第2期),高雄市苓雅區四維四路154號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/11/20 15:00,瑞助營造股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路419號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/04/19 09:00,瑞助營造股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道369號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/03/26 16:00,達欣工程股份有限公司,高速公路拓寬工程 (第3期),新北市板橋區文化路283號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/02/03 15:00,中鼎工程股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道50號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/09/12 14:00,根基營造股份有限公司,廠房新建工程 (第2期),高雄市苓雅區四維四路376號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/07/09 13:00,皇昌營造股份有限公司,捷運系統土建工程 (第2期),臺北市內湖區瑞光路279號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/01/11 12:00,工信工程股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道78號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
108/02/11 14:00,瑞助營造股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道470號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/11/28 17:00,瑞助營造股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路240號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/11/05 14:00,建國工程股份有限公司,中心商業大樓新建案 (第3期),高雄市苓雅區四維四路463號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/06/14 09:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),桃園市中壢區中正路118號,物體飛落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/12/06 09:00,互助營造股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路367號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/03/05 11:00,達欣工程股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路134號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/10/14 14:00,互助營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路22號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/10/02 14:00,工信工程股份有限公司,捷運系統土建工程 (第1期),臺中市西屯區台灣大道178號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/12/17 11:00,中鼎工程股份有限公司,高速公路拓寬工程 (第2期),高雄市苓雅區四維四路265號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/05/09 09:00,遠雄營造股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路228號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/07/20 09:00,瑞助營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路131號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/07/12 09:00,根基營造股份有限公司,廠房新建工程 (第1期),高雄市苓雅區四維四路489號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/03/27 12:00,大陸工程股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路25號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/06/28 10:00,中鼎工程股份有限公司,廠房新建工程 (第2期),高雄市苓雅區四維四路478號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
108/12/13 11:00,瑞助營造股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道121號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/07/01 12:00,皇昌營造股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路319號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/05/24 10:00,互助營造股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路40號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/01/25 14:00,建國工程股份有限公司,捷運系統土建工程 (第3期),新北市板橋區文化路380號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/11/19 09:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),臺中市西屯區台灣大道452號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/09/23 08:00,大陸工程股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路357號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/06/01 14:00,根基營造股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路145號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/07/03 16:00,瑞助營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路207號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/10/11 14:00,建國工程股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路13號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/03/21 10:00,工信工程股份有限公司,中心商業大樓新建案 (第1期),高雄市苓雅區四維四路236號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/05/11 12:00,建國工程股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路488號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/09/22 15:00,根基營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路463號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/04/20 12:00,皇昌營造股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道163號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/10/28 10:00,遠雄營造股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路62號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
108/09/20 09:00,瑞助營造股份有限公司,中心商業大樓新建案 (第1期),臺中市西屯區台灣大道238號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/09/21 08:00,達欣工程股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路317號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
108/08/03 10:00,瑞助營造股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路393號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
108/10/16 16:00,建國工程股份有限公司,捷運系統土建工程 (第1期),新北市板橋區文化路161號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
